,index,sentiment,cleaned_message
0,0,Bullish,tsla funny all these people be say it be go to crash it have its pullback and bounce off the ma already now it be gear up for battery day should be steady rise over this week stop with the nonsense if you want to short and add put do it at the top after news be out manshruggingmediumskintone
1,1,Bullish,tsla anyone else feel we have be pin the last week
2,2,Bearish,tsla anytime watchout
3,3,Bullish,tsla bear be scared let them bring it down so i can some more for little extra money lol
4,4,Bullish,tsla dollarbanknote rocket rocket rocket rocket rocket rocket day of reckoning bulls clinkingglasse bottlewithpoppingcork highvoltage
5,5,Bearish,tsla kick out from sp so why worry about battery day my foot
6,6,Bullish,tsla will cnbc not just shut the fu these cretin need to crawl back under their rock
7,7,Bearish,tsla crash come
8,8,Bullish,tsla the same old bear in this chat yawningface yawningface
9,9,Bullish,tsla if you see bear try to get you to lose faith read their actual page these are paid bot try to drive the price down do not fall for it
10,10,Bullish,tsla regardless of what you say remember tesla be not your typical car company they be not they do not do what the average car company do give me the name of car company that sell car in mall
11,11,Bullish,tsla uptrend from now
12,12,Bullish,tsla not look good need to hold up today or else red let 's go
13,13,Bearish,tsla next babe set up
14,14,Bearish,tsla see you all at
15,15,Bullish,tsla smell like money
16,16,Bullish,tsla by eod
17,17,Bullish,tsla imagine your life suck so bad that you actually want stock to crash hahahahah
18,18,Bearish,tsla turn red another down day today
19,19,Bullish,tsla dak be fake propaganda
20,20,Bearish,tsla be we go to see handle this week
21,21,Bullish,tsla share by the end of the day
22,22,Bullish,tsla short robinhood kid havent wake up yet from play video game last night you should cover while you can
23,23,Bearish,tsla red candle line up for tsla crash
24,24,Bullish,tsla big day
25,25,Bullish,nkla less fraudy than elon short and distort campaign tsla
26,26,Bullish,tsla
27,27,Bearish,tsla huge red candle the real selloff have begin
28,28,Bearish,tsla wow anytime
29,29,Bearish,tsla sub inbound
30,30,Bullish,tsla form defaa tesla inc wizard am et file on september
31,31,Bullish,tsla battery day will go dow as the most seminal moment in automotive and industrial history
32,32,Bearish,tsla look at these candle i see lotza green short fly out
33,33,Bullish,tsla oh sorry but im block all bear aapl shll nio stop hate
34,34,Bearish,tsla tsla slaughter day
35,35,Bullish,tsla gt
36,36,Bearish,tsla some chunky red candle pop up
37,37,Bearish,tsla ha ha soon or even less
38,38,Bullish,tsla if these bull be shit infront of nkla truck they may be safe but do not shit infront of tsla as its go to hit you very hard you know it move very fast
39,39,Bullish,tsla how can people say red day when it be green premarket facewithtearsofjoy you guy be ridiculous i hope you seek help
40,40,Bearish,tsla battery day my foot con artist bait like sp
41,41,Bullish,tsla today directhit
42,42,Bearish,tsla i would advise all bear to short after battery day
43,43,Bearish,tsla next
44,44,Bearish,tsla ha ha what kinda fool dont understand its in its down turn soo close to crash
45,45,Bearish,tsla whats the on this
