index,sentiment,cleaned_message
0,Bullish,td buy dbx at supp resis hilo ty buy pe div dropbox i stock trade finance market
1,Bullish,dbx ccl gpro nat im not to bash anyone but people follow jeremy cause he think hes guru when hes just patient on of the great bull run in history kinda sad people rush to buy what he buy instead of do their own research that be say i buy dbx before he do so im bullish on the stock
2,Bullish,same deal with snap another box trigger potential breakout but when it happen on monday its hard to tell if it get go to rock with big volume for the week or not well see
3,Bullish,take some snap this week at
4,Bullish,impressive chart snapchat snap no rank overall out of
5,Bullish,chgg big candle back to soon
6,Bullish,chgg this week
7,Bullish,chgg approach strike
8,Bullish,chgg need close or above to start the next leg up next week
9,Bullish,chgg patience
10,Bullish,chgg nice little update today by keybanc regard nsrbc some good publicity should get some volume if were green tomorrow which be the only fucking thing holding this back be volume where be everyone dammit this be no brainer here
11,Bearish,tsla bulls be all try to beat each other out the door rollingonthefloorlaughing rollingonthefloorlaughing
12,Bearish,tsla another after hour
13,Bullish,tsla hd american company be sue trump because of his ridiculous tariff trump try to tell voter that tariff be great thing clearly they be not vote the orange clown out of town
14,Bullish,tsla let 's bring it down to so we can all ride it back up to when the delivery number be release in week winkingface
15,Bearish,tsla already at it be go to blow straight through that support line tomorrow yike
16,Bearish,tsla believe what you see healthy correction come
17,Bullish,clou nflx aapl amzn y all can not have my share
18,Bullish,nflx unbelievable i hope that nflx come back with vengeance tomorrow i be in call
19,Bullish,chgg this go to rise please dip prior
20,Bullish,chgg btd
21,Bearish,chgg quoti use chegg to get me thru collagequot quoti aslo by chg at atll time hi becuaze i lernd alot in collagequot
22,Bullish,chgg online education through no demand my
23,Bullish,chgg dare to put this fool be bet against beast this pullback be an opportunity of lifetime i hope this hit
24,Bullish,mu
25,Bullish,fast and furious bull already in nov call aapl friday call mu friday call dkng nov call
26,Bearish,mu keep sell into it
27,Bearish,mu that be so cute it be go up because people actually beleive someone will buy this crap lol
28,Bullish,top stock by market cap aapl amzn msft googl fb full leaderboard gt
29,Bearish,fb price target
30,Bullish,fb break will scare lot of short
31,Bullish,fb nice
32,Bullish,fb fb call pay honeybee congrat everyone nvda aapl orcl show some sign of strength whiteheavycheckmark
33,Bullish,amzn fb sq here be your early morning shake off before we have stellar day amp week
34,Bullish,daily watchlist long nvda tsla sgms fb follow me for more daily watchlist
35,Bullish,aapl fb msft let the game begin
36,Bullish,spy fb amzn nflx goog theres no other alternative to stock tina
37,Bearish,sell aapl apple aapl stock volatility be the high since march of it may cause panic thetradable apple aapl stock volatility be the high since march of it may cause panic usman salis usman have be in the blockchain space for
38,Bearish,aapl fyi bull for jawbone stupid and waste broadband
39,Bullish,srne msft amzn aapl nflx my best stock ever whitemediumstar whitemediumstar backhandindexpointingup backhandindexpointingup backhandindexpointingup now i hope you listen to my call last week my dear friend sorrento due for terrific news short about to cover and trend change confirmed unitedstate unitedstate whitemediumstar whitemediumstar whitemediumstar unitedstates unitedstates unitedstate news everywhere
40,Bullish,aapl all bear come at me at once when market open i double dare you all to load put be what i want so i can load my million of on call check flow algo if you all can spot my sweep block then good for you spy
41,Bullish,oppenheimer give apple buy rating with pt today aapl qq xlk nasdaq
42,Bullish,aapl be do stock market over year i see all the manipulation dark pool order lie fake news when it drop load up call be all i will say buy the fear spy
43,Bullish,fb another week where trader absolutely kill it stop guess and come trade with us sign up for our limited free hour trial today at
44,Bullish,fb very nice breakout early last week run from to fib below at and as long as it hold fb could claw back and retest and claim new ath and power to option flow be feel the same way with call long from and virtually no put long for the week of darkpools above below
45,Bullish,sbux wy fcx ups fb keep these on your watchlist will monitor position follow for entry alert tomorrow morning
46,Bullish,fb in year from now i project price of
47,Bearish,levermann global megacap sell wk aapl amzn fb wmt jpm
48,Bullish,fb sept th call feel nice green week
49,Bullish,these haters be next level be like they want to see us fail or sum basically shame if be do well and you should hide it oh that congrat to us team another strong month be ready for quotthe correctionquot all permas have be call since may spy fb tsla aapl follow on twitter and lets keep find them pig bf they pop good luck
50,Bearish,gg megacap sell wk jpm googl goog ma growthstock stock finance investment
51,Bullish,xlf jpm wfc bac financial be ready to move up
52,Bullish,jpm wfc bac xlf rip it let have hugee run
53,Bullish,fas ma jpm bac
54,Bullish,ms morgan stanley post market up more than all day someone need in xlf gs jpm kre
55,Bullish,jpm
56,Bullish,nflx moon next week
57,Bullish,nflx this play out smooth and netflix will pierce the the moon nd round entry swing in call glta enjoy the weekend spy aapl roku
58,Bullish,nflx buy just under
59,Bullish,our smartoptions register ai be crush the market nflx up since delay alert follow the money amp trade options with our smartoptions register artificial intelligence roku
60,Bullish,nflx should pop off come monday
61,Bullish,nflx hold on to majority of gain from the week what to look for next week armrreport
62,Bullish,smartoptions register trade alert delay ticker roku buy oct call entry price tp tp tp stop loss nflx tsla
