cleaned_message,sentiment
tsla funny all these people be say it be go to crash it have its pullback and bounce off the ma already now it be gear up for battery day should be steady rise over this week stop with the nonsense if you want to short and add put do it at the top after news be out manshruggingmediumskintone,Bullish
tsla anyone else feel we have be pin the last week,Bullish
tsla anytime watchout,Bearish
tsla bear be scared let them bring it down so i can some more for little extra money lol,Bullish
tsla dollarbanknote rocket rocket rocket rocket rocket rocket day of reckoning bulls clinkingglasse bottlewithpoppingcork highvoltage,Bullish
tsla kick out from sp so why worry about battery day my foot,Bearish
tsla will cnbc not just shut the fu these cretin need to crawl back under their rock,Bullish
tsla crash come,Bearish
tsla the same old bear in this chat yawningface yawningface,Bullish
tsla if you see bear try to get you to lose faith read their actual page these are paid bot try to drive the price down do not fall for it,Bullish
tsla regardless of what you say remember tesla be not your typical car company they be not they do not do what the average car company do give me the name of car company that sell car in mall,Bullish
tsla uptrend from now,Bullish
tsla not look good need to hold up today or else red let 's go,Bullish
tsla next babe set up,Bearish
tsla see you all at,Bearish
tsla smell like money,Bullish
tsla by eod,Bullish
tsla imagine your life suck so bad that you actually want stock to crash hahahahah,Bullish
tsla turn red another down day today,Bearish
tsla dak be fake propaganda,Bullish
tsla be we go to see handle this week,Bearish
tsla share by the end of the day,Bullish
tsla short robinhood kid havent wake up yet from play video game last night you should cover while you can,Bullish
tsla red candle line up for tsla crash,Bearish
tsla big day,Bullish
nkla less fraudy than elon short and distort campaign tsla,Bullish
tsla,Bullish
tsla huge red candle the real selloff have begin,Bearish
tsla wow anytime,Bearish
tsla sub inbound,Bearish
tsla form defaa tesla inc wizard am et file on september,Bullish
tsla battery day will go dow as the most seminal moment in automotive and industrial history,Bullish
tsla look at these candle i see lotza green short fly out,Bearish
tsla oh sorry but im block all bear aapl shll nio stop hate,Bullish
tsla tsla slaughter day,Bearish
tsla gt,Bullish
tsla some chunky red candle pop up,Bearish
tsla ha ha soon or even less,Bearish
tsla if these bull be shit infront of nkla truck they may be safe but do not shit infront of tsla as its go to hit you very hard you know it move very fast,Bullish
tsla how can people say red day when it be green premarket facewithtearsofjoy you guy be ridiculous i hope you seek help,Bullish
tsla battery day my foot con artist bait like sp,Bearish
tsla today directhit,Bullish
tsla i would advise all bear to short after battery day,Bearish
tsla next,Bearish
tsla ha ha what kinda fool dont understand its in its down turn soo close to crash,Bearish
tsla whats the on this,Bearish
tsla sampp inclusion can still happen battery day money mouthface,Bullish
tsla end of con artist,Bearish
tsla teslas sale be up more than over the last year accord to datum from sampp global market intelligence,Bullish
tsla wow sell big time,Bearish
tsla get new bull flood in and bear still think they be safe,Bullish
tsla i hope market maker do not screw with us never be so obvious stock will go up and that bad probably hard dump right after battery day be prepared to lock profit and eject,Bullish
tsla crash crash crash get ready,Bearish
tsla let bring the cage out time for bear trap this week bears dont you realize that tesla make its own rule by now no need for your explanation,Bullish
tsla wait till battery day collision collision collision collision,Bullish
nkla once the nikola truck and badger etc come out and sell like hotcake in month and year to come nikola may be big and well than tsla some day think,Bullish
tsla expect drop any time,Bearish
tsla all the good bull need to cover my loss,Bullish
tsla when bear start barking that how know the stock be go up,Bullish
tsla cover bear or feel max pain,Bullish
tsla when be battery day,Bullish
tsla today let us do this,Bullish
tsla bill gates smoke the wrong sh,Bullish
tsla sp board still laugh at the great tsla con artist,Bearish
tsla it touch on and with it be the week it be on top of the new information that be come out this morning i can not see it not get to atleast that point again before friday extremely,Bullish
tsla regardless battery day will generate some upward trajectory by then soonarrow moneybag fire,Bullish
tsla nasdaq future look tasty,Bullish
tsla we be so overdue for big day,Bullish
tsla you all should do your research on tesla before investing lot of people be say this be not car company of their revenue come from auto sale thats auto sale leasing and other related energy storage tesla be high price evs and they only sell per year toyota sell vw sell this be each ford sell time as many truck in the united states then tesla sell auto in the world sorry to inform all you investor but there isnt santa claus and space be not part of tesla yet the valuation of tesla be more than all of these behemoth automaker put together the valuation be year down the road for tesla and people be pay today for valuation in the future by year lot could happen in year theres also lot of competition every automaker make ev plus have variety of other option theres ton in new ev maker panasonic make teslas battery,Bearish
tsla how bear feel who short and hibernate,Bullish
tsla when robinhood crew wake up fomo will kick them really hard easily,Bullish
tsla pt,Bullish
tsla i love it when bear get desperate it can only mean thing for that stock up up up,Bullish
tsla elon say believe and you will profit mathews,Bullish
tsla tesla ceo elon musk tweet friday that tesla stock price be too high imo this tweet be back in may not much as happen since then they didnt get into the sampp which be the big deal so please dont blame your fearless leader if the stock crash its go up since then and elon must be say enough be enough to himself he know this just will start crash tesla be price for possibly year down the road there be huge competition lot of really good evs the only thing the competition have the tesla do not there be whole line of vehicle truck and so on toyota and tesla battery be build by panisonic toyota have autonomous and they sell vehicle year tesla sell if they be lucky end it will take year in lot of factory to build tesla it be worth twice what toyota be worth what be wrong with this picture also assume everybodys go to want an expensive ev to drive,Bearish
tsla everyone need to become bull right now if theyre try to make money,Bullish
tsla the only way battery day be go to mean anything to me be that they come up with mile battery that doesnt need charge if thats the case then i be totally wrong about battery day maybe elon solve perpetual motion if so i will eat my word and we will have bunch of run around with perpetual motion he could sell it to all of the other auto company and will put an end to climate change and every other bad thing that we be face with otherwise battery day will be just bunch of hype totally meaningless,Bearish
tsla on track for potential open and only up from there highvoltage highvoltage highvoltage highvoltage highvoltage,Bullish
levermann us megacap sell wk aapl amzn wmt tsla jpm,Bearish
tsla,Bearish
tsla there may not be another pullback till battery day pt,Bullish
tsla bear go bother nkla grinningfacewithbigeye,Bullish
tsla not problem now fire,Bullish
tsla reuters say sampp could still happend any day what surprise inclusion on batteryday and lot of other supernew this could hit percent over night love it elon tell us that there would be some real huge surprice bear bbq,Bullish
nkla the gm dealmwas all about gm have the right to get into the direct to consumer market which exist franchise law on its brand forbid between tsla rivian and spaq all sell truck or suv direct to consumer the main profit engine for gm gm see this as big threat they cant solve so as an owner of nkla gm can now ship its tech as badger direct to consumer thats what this deal be about and why no sweatband it because neither side discuss this for obvious reason its gms way of get around dealer franchise law period,Bearish
tsla dear spineless analyst be there any analyst out their that read stocktwits if so why dont you say something about the valuation of tesla and why it be so overvalue be you afraid of the cult this be car company that be barely survive financially the only reason that it be go up be anything mr musk say have to be gospel downgrade this sucker like it should be do elon threaten you even cramer give me break,Bearish
tsla hey there what do you expect from battery day my main hope cheap battery new cheap car in next year to become profitable on the core business of sell car and less dependent on sell carbon credit foldedhand,Bullish
tsla tesla recruit in china,Bullish
tsla tesla sale over the month period fall from in through july to over the same period this year and its share in the ev market plunge from to,Bearish
tsla you guy have calculator on your phones right tesla be value at they sell car so if you divide into what you get the value of tesla be per car that they produce how do that make any sense elon say tesla will increase production by per year for the next year this may be difficult but i come up be after year they will need to make profit of per vehicle to break even at the current valuation,Bearish
tsla go to laugh my ass off if this happen this week on top of batter day come sampp could still happen,Bullish
